iter	Logloss
0	0.6065199002
1	0.5378107766
2	0.4912787557
3	0.456673048
4	0.428768478
5	0.4050500008
6	0.3899307575
7	0.3800498225
8	0.372001084
9	0.3622406382
10	0.3540936129
11	0.3491019959
12	0.3454124235
13	0.3407778961
14	0.3367714623
15	0.333911845
16	0.3306521561
17	0.3286266315
18	0.3264058618
19	0.3250865567
20	0.3233338648
21	0.3216826804
22	0.3206293512
23	0.3198258167
24	0.31860222
25	0.3172385796
26	0.3158636517
27	0.3146490054
28	0.3132823692
29	0.3116432353
30	0.3110070593
31	0.3104365333
32	0.3094960182
33	0.308806271
34	0.3082728324
35	0.3077598174
36	0.3072207594
37	0.30659435
38	0.305956076
39	0.305285533
40	0.3045614096
41	0.3036701936
42	0.3029562768
43	0.302640208
44	0.3021053504
45	0.3011489375
46	0.3006449722
47	0.3002692517
48	0.2997629416
49	0.2991658501
50	0.2988223205
51	0.298624936
52	0.2983980263
53	0.2982662003
54	0.2972628671
55	0.2968939375
56	0.2963495068
57	0.2959093322
58	0.2956098345
59	0.2953556793
60	0.2947482526
61	0.2941260686
62	0.2938056885
63	0.2936293736
64	0.2933686961
65	0.2932296939
66	0.2930219128
67	0.2928300045
68	0.2926488423
69	0.2924957775
70	0.2923330308
71	0.2921670516
72	0.2920435292
73	0.291923588
74	0.291663392
75	0.2913296433
76	0.2906140493
77	0.2897263878
78	0.2895057437
79	0.289397704
80	0.2893070534
81	0.2891011509
82	0.2888662165
83	0.288701674
84	0.288601643
85	0.2885229648
86	0.2884932835
87	0.2881296262
88	0.2874352579
89	0.2873125676
90	0.2871670174
91	0.2870132931
92	0.2867042299
93	0.2866637776
94	0.2865104217
95	0.2863502908
96	0.2861717921
97	0.2860295921
98	0.2858263609
99	0.2856588171
100	0.2855380463
101	0.2848646771
102	0.2848213195
103	0.2843038885
104	0.2840929751
105	0.2840190593
106	0.2838830034
107	0.2837046358
108	0.283474304
109	0.2832785729
110	0.2824402994
111	0.2823536468
112	0.2821446579
113	0.2820113447
114	0.2818883453
115	0.2816936887
116	0.2814284445
117	0.2810013531
118	0.2808963433
119	0.2807983443
120	0.2801504041
121	0.2800099487
122	0.2798282963
123	0.2796761038
124	0.2796036138
125	0.2793368586
126	0.2791788917
127	0.2789285817
128	0.2788666327
129	0.278779196
130	0.278721426
131	0.2786453505
132	0.2785074777
133	0.2781894237
134	0.2780432075
135	0.2779258484
136	0.277850313
137	0.2774010451
138	0.2772652848
139	0.2771497239
140	0.27701705
141	0.276960594
142	0.2768644799
143	0.2768187876
144	0.2767636104
145	0.2766037918
146	0.2764060186
147	0.2761515125
148	0.2756623081
149	0.2755489406
150	0.2755285521
151	0.2753868542
152	0.2753091257
153	0.2752233169
154	0.2752034102
155	0.2748938345
156	0.2747182557
157	0.2745855122
158	0.274571287
159	0.2745011654
160	0.2744869324
161	0.2743618293
162	0.2742974198
163	0.274258521
164	0.2741564563
165	0.2740632377
166	0.2739681744
167	0.2736259008
168	0.2734691031
169	0.273431139
170	0.2733323267
171	0.2732111572
172	0.2730752005
173	0.27298309
174	0.2729107348
175	0.2727933543
176	0.2726910481
177	0.272567598
178	0.272497418
179	0.2723968508
180	0.2723052382
181	0.272201636
182	0.2721605129
183	0.2720821905
184	0.2720485406
185	0.2720105745
186	0.2719790878
187	0.2719237783
188	0.271870807
189	0.2718467376
190	0.2716046981
191	0.2715112819
192	0.2714635604
193	0.2714237628
194	0.2713446262
195	0.2713249921
196	0.2711850472
197	0.2711292937
198	0.2710440028
199	0.2705329457
200	0.2704853904
201	0.2704348535
202	0.270399675
203	0.2702937854
204	0.2702416898
205	0.2701451693
206	0.2700415382
207	0.2699921687
208	0.2699216465
209	0.2698227999
210	0.2697982631
211	0.2695834449
212	0.2695150828
213	0.2694532011
214	0.2693920585
215	0.2693466887
216	0.2692687999
217	0.2691919654
218	0.2691595108
219	0.2690507397
220	0.2687172737
221	0.2686798268
222	0.2686254193
223	0.2684801022
224	0.2683894127
225	0.268271212
226	0.2681592691
227	0.2681333592
228	0.2681155504
229	0.2680852512
230	0.2680259156
231	0.2679313967
232	0.2678769713
233	0.2677892152
234	0.2677581601
235	0.2677112928
236	0.2676790637
237	0.2676396176
238	0.2675961107
239	0.2675628611
240	0.267466294
241	0.2673975269
242	0.2673876516
243	0.2673826807
244	0.2673438694
245	0.2672419189
246	0.2672214496
247	0.2671424611
248	0.2670344919
249	0.2669841592
250	0.2669579783
251	0.2668758907
252	0.2668287393
253	0.2667556774
254	0.2667457246
255	0.266725966
256	0.2666712634
257	0.2666454772
258	0.2665696718
259	0.2665548004
260	0.2665308023
261	0.266446924
262	0.2663650193
263	0.2662598567
264	0.266197116
265	0.2659776802
266	0.2659159476
267	0.2659019516
268	0.2658717116
269	0.26583287
270	0.2655169309
271	0.2653233163
272	0.2652716497
273	0.2652604178
274	0.2651546899
275	0.2651002572
276	0.265081894
277	0.2649946491
278	0.2648977283
279	0.2648657089
280	0.2648164856
281	0.264749663
282	0.2647381207
283	0.2646678274
284	0.2646147908
285	0.2645231991
286	0.2644788727
287	0.2644260786
288	0.2644064113
289	0.2643757101
290	0.2643568353
291	0.2643156451
292	0.2642577091
293	0.2641939029
294	0.2641570484
295	0.2641389479
296	0.2641113881
297	0.2640148119
298	0.2639804109
299	0.2639152228
300	0.2636536197
301	0.2636120281
302	0.2635683692
303	0.2635647382
304	0.2635355951
305	0.2634723657
306	0.2634326076
307	0.2634035528
308	0.2633509055
309	0.2633143922
310	0.2632478541
311	0.2632030167
312	0.2631061835
313	0.2630167379
314	0.262982371
