iter	Passed	Remaining
400	25517	6299
401	25572	6234
402	25628	6168
403	25690	6104
404	25743	6038
405	25799	5973
406	25851	5907
407	25903	5840
408	25952	5774
409	26017	5711
410	26084	5648
411	26152	5585
412	26217	5522
413	26287	5460
414	26350	5397
415	26435	5337
416	26499	5274
417	26555	5209
418	26610	5144
419	26667	5079
420	26720	5014
421	26768	4947
422	26821	4882
423	26874	4817
424	26929	4752
425	26978	4686
426	27032	4621
427	27084	4556
428	27144	4492
429	27214	4430
430	27277	4366
431	27332	4302
432	27391	4238
433	27441	4173
434	27494	4108
435	27551	4044
436	27603	3979
437	27661	3915
438	27709	3850
439	27762	3785
440	27825	3722
441	27881	3658
442	27935	3594
443	27992	3530
444	28053	3467
445	28110	3403
446	28165	3339
447	28216	3275
448	28265	3210
449	28322	3146
450	28382	3083
451	28446	3020
452	28530	2960
453	28593	2897
454	28641	2832
455	28692	2768
456	28747	2704
457	28801	2641
458	28847	2576
459	28900	2513
460	28953	2449
461	29009	2386
462	29073	2323
463	29124	2259
464	29184	2196
465	29244	2133
466	29295	2070
467	29348	2006
468	29403	1943
469	29461	1880
470	29524	1817
471	29589	1755
472	29640	1691
473	29692	1628
474	29750	1565
475	29802	1502
476	29849	1439
477	29902	1376
478	29968	1313
479	30020	1250
480	30090	1188
481	30152	1126
482	30205	1063
483	30262	1000
484	30314	937
485	30366	874
486	30432	812
487	30488	749
488	30551	687
489	30608	624
490	30667	562
491	30718	499
492	30772	436
493	30834	374
494	30893	312
495	30950	249
496	31006	187
497	31058	124
498	31113	62
499	31165	0
