iter	Logloss
0	0.6527006333
1	0.6193492582
2	0.5941794087
3	0.5733124318
4	0.5577082274
5	0.544840432
6	0.5344679241
7	0.5260777687
8	0.5192146161
9	0.5134674289
10	0.5087981923
11	0.505114313
12	0.5023427495
13	0.4992629232
14	0.4973913142
15	0.4958819117
16	0.494266672
17	0.4928652288
18	0.4920587926
19	0.4909576352
20	0.4899412467
21	0.4886361603
22	0.4878442849
23	0.4870989425
24	0.486504571
25	0.4852213172
26	0.4844110543
27	0.4833227571
28	0.4829413445
29	0.482435996
30	0.4820132224
31	0.4816714465
32	0.4812931347
33	0.4804872194
34	0.4804339977
35	0.4800638362
36	0.4795605895
37	0.4789416274
38	0.4783961207
39	0.4780656231
40	0.4776448963
41	0.4771924395
42	0.4768901774
43	0.4765555068
44	0.4762507872
45	0.4760446202
46	0.4754369284
47	0.474767743
48	0.4745219553
49	0.4740823145
50	0.4737165125
51	0.4732811114
52	0.472938032
53	0.472459876
54	0.472327878
55	0.4721380782
56	0.4718461674
57	0.4716008923
58	0.4711414296
59	0.4709590956
60	0.4707697018
61	0.470333492
62	0.4700537775
63	0.4698628685
64	0.4695372033
65	0.4693651453
66	0.4692207098
67	0.468931874
68	0.4687822898
69	0.4685692659
70	0.4684094481
71	0.4682260989
72	0.4681185881
73	0.4678398148
74	0.4675399904
75	0.4671308337
76	0.4669053113
77	0.4667054285
78	0.4664819365
79	0.4661455637
80	0.4659932572
81	0.4658852015
82	0.4656152117
83	0.4656080021
84	0.4654394796
85	0.465293117
86	0.4651259492
87	0.465063814
88	0.4647470816
89	0.4645601854
90	0.4644281962
91	0.4640613887
92	0.4638250676
93	0.4635502567
94	0.4633590819
95	0.4631819992
96	0.4630127171
97	0.4628231592
98	0.4626641418
99	0.4623734142
100	0.4622030722
101	0.4619653521
102	0.4616336684
103	0.4614933963
104	0.4612071964
105	0.4609744858
106	0.460682579
107	0.4602504061
108	0.4599660086
109	0.459624116
110	0.4593296251
111	0.4589447452
112	0.4586136917
113	0.4582753622
114	0.4579857302
115	0.4576706984
116	0.4574333037
117	0.4571779752
118	0.4569845242
119	0.4565772371
120	0.4563674356
121	0.4560683384
122	0.4558683462
123	0.4556193423
124	0.4554050993
125	0.4552127853
126	0.4550712881
127	0.4547808696
128	0.4544711699
129	0.4541282934
130	0.4538274802
131	0.4535967715
132	0.4533214491
133	0.4531731878
134	0.4530637951
135	0.4527387723
136	0.4524965372
137	0.452247727
138	0.4520934796
139	0.4518932377
140	0.451634417
141	0.451335177
142	0.4509815816
143	0.450697706
144	0.4504336707
145	0.4503049829
146	0.4500368226
147	0.4498455661
148	0.449563689
149	0.4492805672
150	0.4490711459
151	0.4488653187
152	0.4485631802
153	0.4483111816
154	0.4480290217
155	0.4478184854
156	0.44758083
157	0.4474770528
158	0.4472456551
159	0.4468916034
160	0.4464742877
161	0.4462685951
162	0.4461769669
163	0.4459846691
164	0.445845785
165	0.4455406991
166	0.4454100694
167	0.445264607
168	0.4449336387
169	0.4446822179
170	0.444490791
171	0.4442899179
172	0.444120478
173	0.4439204898
174	0.4436726181
175	0.4434650095
176	0.4432100053
177	0.4430116563
178	0.4428127827
179	0.4426172522
180	0.4424228289
181	0.4421394846
182	0.4419199981
183	0.4417432322
184	0.4415643661
185	0.4414388123
186	0.4411597702
187	0.4409913504
188	0.4407818288
189	0.4404655874
190	0.4402884833
191	0.4402102932
192	0.4399973424
193	0.4398065022
194	0.4395259754
195	0.4393421496
196	0.4391850199
197	0.4390054427
198	0.4389233634
199	0.4387315356
200	0.4386313913
201	0.4383529724
202	0.4381752706
203	0.4379885061
204	0.437737938
205	0.4375336776
206	0.4373921985
207	0.4370839481
208	0.4369050613
209	0.4367457914
210	0.4366224142
211	0.4364863614
212	0.4362719623
213	0.4360762003
214	0.4358583431
215	0.4357633817
216	0.4355713176
217	0.4354015855
218	0.4351749506
219	0.4351022747
220	0.4349085299
221	0.434758201
222	0.4345803308
223	0.4344466998
224	0.4343117834
225	0.4341642055
226	0.434002621
227	0.4338493668
228	0.4337174753
229	0.4335439856
230	0.4334249254
231	0.4332135838
232	0.4330124051
233	0.432903857
234	0.4327445017
235	0.43258031
236	0.4323444853
237	0.4321910858
238	0.4319732611
239	0.4318633878
240	0.4317233092
241	0.4316100765
242	0.4314233684
243	0.4311911969
244	0.4309511649
245	0.4307605737
246	0.4305956963
247	0.4304967347
248	0.4302741451
249	0.4301954186
250	0.4300582068
251	0.4298833015
252	0.4297932535
253	0.4295760958
254	0.4294770641
255	0.4293085107
256	0.4290923801
257	0.4289707935
258	0.4288296893
259	0.4286859179
260	0.4285910994
261	0.428416305
262	0.4281823627
263	0.4279207692
264	0.4277485456
265	0.4276121971
266	0.427442275
267	0.4273092753
268	0.4271866083
269	0.4270427061
270	0.4268035031
271	0.4265565278
272	0.4263148916
273	0.4262022198
274	0.4260153978
275	0.4258115357
276	0.4256838187
277	0.4255105282
278	0.425375475
279	0.4252267282
280	0.42511492
281	0.4249172328
282	0.4247181855
283	0.4244766468
284	0.4243412807
285	0.4242434311
286	0.4240460172
287	0.4238952681
288	0.4237408691
289	0.4235566093
290	0.4233924713
291	0.4233133175
292	0.4232333796
293	0.4230644886
294	0.4229251988
295	0.4226910543
296	0.4225576578
297	0.4224314783
298	0.4223174159
299	0.4221563304
